name,season,team,games,minutes,poss,pts,fg2a,fg3a,fta,orb,drb,ast,stl,blk,tov,pf,pts100,fg2a100,fg3a100,fta100,orb100,drb100,ast100,stl100,blk100,tov100,pf100,dre,dre_rapm_scale,dre_total,dre_rank
A'ja Wilson,2026,LV,28,876.0,1791.552024888081,735.0,424.0,68.0,219.0,55.0,212.0,87.0,42.0,54.0,64.0,48.0,41.0258809004397,23.66663061467542,3.7955917023536054,12.224037982579993,3.0699638769036515,11.83331530733771,4.856124678011231,2.3443360514536975,3.0141463518690395,3.5723216022151583,2.6792412016613683,15.898,5.975,284.82,1
Olivia Miles,2026,MIN,29,880.0,1826.1674620764034,554.0,290.0,103.0,141.0,21.0,123.0,171.0,39.0,20.0,84.0,85.0,30.33675780040931,15.8802522781926,5.640227533289095,7.72108817663847,1.1499493029036019,6.73541734557824,9.363872895072186,2.1356201339638323,1.0951898122891446,4.5997972116144075,4.654556702228866,10.142,3.812,185.21,2
Kelsey Plum,2026,LA,12,415.0,859.1697527340839,287.0,107.0,81.0,72.0,3.0,23.0,77.0,14.0,0.0,37.0,41.0,33.404341701590084,12.453883491533585,9.427706194525424,8.3801832840226,0.34917430350094164,2.6770029935072195,8.96214045652417,1.6294800830043945,0.0,4.306483076511613,4.772048814512869,9.991,3.755,85.84,3
Courtney Vandersloot,2026,CHI,12,227.0,484.83885837324505,103.0,53.0,23.0,36.0,7.0,25.0,54.0,15.0,3.0,19.0,22.0,21.244171794643403,10.93146703996214,4.743844187153382,7.425147423370509,1.4437786656553768,5.156352377340632,11.137721135055765,3.093811426404379,0.6187622852808758,3.9188278067788804,4.537590092059756,9.938,3.735,48.18,4
Jackie Young,2026,LV,31,981.0,1994.6545627066478,541.0,243.0,167.0,85.0,23.0,108.0,203.0,31.0,10.0,69.0,70.0,27.12249078687037,12.182560556764326,8.372377008146676,4.261389495164476,1.1530818633974462,5.414471358561922,10.177200794333983,1.5541538158835146,0.5013399406075854,3.459245590192339,3.509379584253098,9.831,3.695,196.09,5
Chennedy Carter,2026,LV,14,244.0,510.943245645916,177.0,92.0,22.0,42.0,10.0,16.0,20.0,13.0,4.0,18.0,35.0,34.641812277260456,18.005913726033683,4.305761977964577,8.220091048841464,1.9571645354384442,3.1314632567015104,3.9143290708768883,2.544313896069977,0.7828658141753776,3.5228961637891993,6.850075874034554,9.3,3.495,47.52,6
Jordin Canada,2026,ATL,28,883.0,1848.675543146747,316.0,170.0,73.0,102.0,19.0,85.0,216.0,62.0,6.0,71.0,75.0,17.093318574557248,9.195772650869404,3.948772961843921,5.517463590521643,1.0277628256854041,4.597886325434702,11.684040544634069,3.3537523785523717,0.32455668179539077,3.840587401245458,4.056958522442384,9.242,3.474,170.85,7
Caitlin Clark,2026,IND,26,760.0,1628.0220763901934,558.0,186.0,201.0,167.0,10.0,96.0,204.0,24.0,16.0,121.0,81.0,34.27471949503603,11.424906498345342,12.346269925631258,10.257846157116518,0.6142422848572766,5.896725934629854,12.53054261108844,1.4741814836574636,0.9827876557716424,7.432331646773046,4.97536250734394,9.214,3.463,150.01,8
Aliyah Boston,2026,IND,27,696.0,1459.722445172928,441.0,243.0,69.0,101.0,50.0,166.0,75.0,36.0,30.0,69.0,86.0,30.211222788162058,16.647000311844398,4.726926014474335,6.919123586404462,3.4253087061408225,11.372024904387532,5.137963059211234,2.4662222684213924,2.0551852236844934,4.726926014474335,5.891530974562214,9.117,3.427,133.08,9
Paige Bueckers,2026,DAL,28,935.0,1922.9634454031288,573.0,295.0,133.0,99.0,18.0,96.0,169.0,19.0,12.0,58.0,69.0,29.79775831775505,15.340905242125203,6.916408126110685,5.148303793119983,0.9360552351127243,4.992294587267863,8.788518596336132,0.9880583037300978,0.6240368234084829,3.016177979807667,3.5882117345987763,8.71,3.274,167.49,10
Breanna Stewart,2026,NY,31,1040.0,2131.623341336524,648.0,369.0,93.0,218.0,55.0,218.0,99.0,41.0,46.0,71.0,71.0,30.399366878470435,17.31075058357344,4.362872098298997,10.226947499238511,2.580193176413385,10.226947499238511,4.644347717544093,1.92341673150816,2.157979747545741,3.330794827733643,3.330794827733643,8.683,3.264,185.09,11
Nneka Ogwumike,2026,LA,27,836.0,1776.4822060179429,460.0,235.0,97.0,77.0,45.0,196.0,82.0,29.0,12.0,42.0,48.0,25.8938703940699,13.228390310013971,5.460229191793001,4.334408739876919,2.5330960168111862,11.03304042877761,4.61586385285594,1.6324396552783198,0.6754922711496496,2.3642229490237736,2.7019690845985984,8.595,3.23,152.69,12
Jessica Shepard,2026,DAL,30,990.0,2023.7973150646449,433.0,292.0,10.0,107.0,96.0,253.0,165.0,22.0,3.0,59.0,68.0,21.395423186741848,14.42832233378434,0.49412062786932676,5.287090718201797,4.743558027545537,12.501251885093968,8.15299035984389,1.0870653813125188,0.14823618836079802,2.915311704429028,3.360020269511422,8.576,3.223,173.56,13
Veronica Burton,2026,GS,28,797.0,1546.5722091665928,336.0,160.0,102.0,101.0,29.0,66.0,154.0,37.0,15.0,47.0,81.0,21.7254647412203,10.345459400581095,6.595230367870449,6.530571246616816,1.8751145163553238,4.267502002739702,9.957504673059304,2.3923874863843784,0.9698868188044777,3.0389786989206966,5.2373888215441795,8.433,3.169,130.42,14
Alyssa Thomas,2026,PHX,28,947.0,1918.5962422239802,417.0,306.0,1.0,142.0,45.0,153.0,232.0,40.0,13.0,99.0,73.0,21.7346407140163,15.949160811724191,0.05212144056119017,7.401244559689004,2.3454648252535577,7.9745804058620955,12.092174210196118,2.0848576224476068,0.6775787272954722,5.160022615557827,3.8048651609668824,8.235,3.095,158.0,15
Rhyne Howard,2026,ATL,28,959.0,2013.8008960303216,465.0,141.0,247.0,86.0,22.0,86.0,97.0,69.0,23.0,39.0,76.0,23.090664072929208,7.001685235017245,12.265363496803259,4.270531419939596,1.0924615260310595,4.270531419939596,4.8167621829551255,3.4263566043701412,1.1421188681233803,1.9366363416005146,3.773957999016387,8.196,3.08,165.05,16
Kayla McBride,2026,MIN,30,967.0,1985.4900805595448,541.0,186.0,200.0,114.0,18.0,85.0,69.0,52.0,8.0,42.0,59.0,27.247680826868546,9.367964202952958,10.07307978812146,5.741655479229232,0.9065771809309314,4.2810589099516205,3.475212526901904,2.6190007449115793,0.4029231915248584,2.1153467555055068,2.971558537495831,8.141,3.06,161.64,17
Natasha Howard,2026,MIN,31,907.0,1876.488793282711,475.0,318.0,19.0,119.0,103.0,138.0,95.0,53.0,27.0,81.0,101.0,25.3132340411711,16.946544052826127,1.012529361646844,6.341631265051287,5.488974960506575,7.354160626698131,5.06264680823422,2.8244240088043546,1.4388575139191995,4.316572541757599,5.382392922438487,7.89,2.966,148.05,18
Kelsey Mitchell,2026,IND,30,964.0,2045.333350775601,711.0,294.0,204.0,149.0,16.0,35.0,80.0,33.0,3.0,55.0,77.0,34.76205967747923,14.374185014316303,9.973924295648048,7.284876078684115,0.7822685722076901,1.711212501704322,3.9113428610384506,1.6134289301783609,0.1466753572889419,2.689048216963935,3.764667503749509,7.567,2.844,154.77,19
Kamilla Cardoso,2026,CHI,28,741.0,1551.8826531147317,400.0,272.0,0.0,113.0,70.0,166.0,70.0,18.0,44.0,48.0,101.0,25.775144737727008,17.527098421654365,0.0,7.281478388407879,4.510650329102226,10.696685066156707,4.510650329102226,1.1598815131977152,2.8352659211499707,3.093017368527241,6.508224046276069,6.961,2.616,108.03,20
