name,team,as_of,half_life,total_poss,total_poss_raw,ORAPM,RAPM,DRAPM,off_ts_pts,off_tov_pts,off_reb_pts,def_ts_pts,def_tov_pts,def_reb_pts,off_ts_rapm,def_ts_rapm,off_tov_rapm,def_tov_rapm,off_reb_rapm,def_reb_rapm,ORAPM_rank,DRAPM_rank,RAPM_rank,stage2_r2
A'ja Wilson,LVA,2026-08-21,700,13413.0,36328,4.99,6.89,1.9,3.46,1.09,-1.29,0.34,0.54,2.33,0.0295,0.0106,1.3411,0.5913,-2.4262,-2.7619,1,18,1,0.8333
Breanna Stewart,NYL,2026-08-21,700,12888.9,40636,4.75,6.88,2.12,2.6,1.62,-0.6,0.33,-0.04,2.34,0.0222,0.0104,1.9871,-0.0399,-1.1318,-2.7736,3,12,2,0.8333
Napheesa Collier,MIN,2026-08-21,700,8647.5,25269,3.15,6.44,3.29,3.83,0.98,-0.99,0.79,0.64,1.2,0.0327,0.0249,1.1988,0.7052,-1.8538,-1.4258,22,4,3,0.8333
Veronica Burton,GSV,2026-08-21,700,8348.0,13927,3.43,6.06,2.63,1.37,1.47,0.77,0.39,1.45,0.35,0.0117,0.0124,1.8006,1.5986,1.4387,-0.4119,16,7,4,0.8333
Alyssa Thomas,PHO,2026-08-21,700,13263.8,45614,3.35,5.85,2.5,2.12,1.07,-0.15,-0.05,0.51,1.14,0.0181,-0.0017,1.3175,0.5598,-0.2726,-1.3465,20,9,5,0.8333
Leonie Fiebich,NYL,2026-08-21,700,5636.1,8697,1.22,5.49,4.27,2.09,-0.18,-0.63,1.35,0.42,2.05,0.0178,0.0424,-0.2227,0.4582,-1.1789,-2.4294,78,1,6,0.8333
Brionna Jones,ATL,2026-08-21,700,7475.6,21707,3.36,5.42,2.06,1.28,-0.23,1.18,0.5,-0.53,2.04,0.0109,0.0158,-0.2763,-0.5879,2.2171,-2.41,19,13,7,0.8333
Chelsea Gray,LVA,2026-08-21,700,13320.9,44038,3.99,5.25,1.26,3.04,0.88,-0.67,0.07,0.38,0.0,0.0259,0.0022,1.0743,0.4232,-1.2585,-0.0027,9,48,8,0.8333
Natasha Howard,MIN,2026-08-21,700,11608.9,37184,4.13,5.23,1.1,2.5,-0.23,-0.19,0.15,1.1,0.5,0.0213,0.0048,-0.2878,1.2112,-0.3647,-0.595,8,55,9,0.8333
Candace Parker,LVA,2026-08-21,700,2693.2,46004,1.75,5.08,3.33,1.75,-0.32,-0.5,1.01,0.62,2.25,0.0149,0.0317,-0.3929,0.6779,-0.9391,-2.6633,53,3,10,0.8333
