player_id,name,name_last,name_i
2,Byron Scott,Scott,B. Scott
3,Grant Long,Long,G. Long
7,Dan Schayes,Schayes,D. Schayes
8,Wang Xuemeng,Xuemeng,W. Xuemeng
9,Sedale Threatt,Threatt,S. Threatt
11,Pan Zhenqi,Zhenqi,P. Zhenqi
12,Chris King,King,C. King
15,Eric Piatkowski,Piatkowski,E. Piatkowski
16,Xiao Tong,Tong,X. Tong
17,Clyde Drexler,Drexler,C. Drexler
21,Greg Anthony,Anthony,G. Anthony
22,Rik Smits,Smits,R. Smits
23,Dennis Rodman,Rodman,D. Rodman
24,Keith Jennings,Jennings,K. Jennings
26,Luc Longley,Longley,L. Longley
28,Doug West,West,D. West
29,Jim McIlvaine,McIlvaine,J. McIlvaine
30,Richard Dumas,Dumas,R. Dumas
31,Lorenzo Williams,Williams,L. Williams
32,Clifford Rozier,Rozier,C. Rozier
35,Eric Riley,Riley,E. Riley
36,Sarunas Marciulionis,Marciulionis,S. Marciulionis
37,Greg Graham,Graham,G. Graham
38,Brad Lohaus,Lohaus,B. Lohaus
41,Anthony Bonner,Bonner,A. Bonner
42,Monty Williams,Williams,M. Williams
43,Chris Whitney,Whitney,C. Whitney
45,George McCloud,McCloud,G. McCloud
46,Mike Peplowski,Peplowski,M. Peplowski
47,Wayman Tisdale,Tisdale,W. Tisdale
49,Gheorghe Muresan,Muresan,G. Muresan
51,Mahmoud Abdul-Rauf,Abdul-Rauf,M. Abdul-Rauf
52,Micheal Williams,Williams,M. Williams
53,Mario Elie,Elie,M. Elie
54,Dickey Simpkins,Simpkins,D. Simpkins
55,Marty Conlon,Conlon,M. Conlon
56,Gary Payton,Payton,G. Payton
57,Doug Christie,Christie,D. Christie
61,Carl Herrera,Herrera,C. Herrera
63,Michael Smith,Smith,M. Smith
64,Sam Perkins,Perkins,S. Perkins
65,Greg Minor,Minor,G. Minor
66,Marques Bragg,Bragg,M. Bragg
67,Tom Hammonds,Hammonds,T. Hammonds
70,Steve Kerr,Kerr,S. Kerr
71,Pooh Richardson,Richardson,P. Richardson
72,Kenny Anderson,Anderson,K. Anderson
73,Hot Rod Williams,Williams,H. Williams
74,Derrick Phelps,Phelps,D. Phelps
76,Cedric Ceballos,Ceballos,C. Ceballos
